year,hires,terminations,net_change,net_change_percent
2000,211,211,0,0.00
2001,1082,1082,0,0.00
2002,1012,1011,1,0.10
2003,1088,1077,11,1.01
2004,1087,1071,16,1.47
2005,1038,1004,34,3.28
2006,1069,1022,47,4.40
2007,1058,1016,42,3.97
2008,1061,1011,50,4.71
2009,1094,1040,54,4.94
2010,1050,971,79,7.52
2011,1057,983,74,7.00
2012,1059,970,89,8.40
2013,1042,948,94,9.02
2014,1014,925,89,8.78
2015,1011,892,119,11.77
2016,1076,944,132,12.27
2017,1043,910,133,12.75
2018,1090,957,133,12.20
2019,1038,880,158,15.22
2020,967,823,144,14.89
